,district,population,income,area,trees,popRatio,areaRatio,incomeRatio
0,Indre By,55866,286,9.0,6105,0.10927934700891419,678.3333333333334,21.346153846153847
1,Østerbro,79803,247,8.7,7815,0.09792864929889854,898.2758620689656,31.639676113360323
2,Nørrebro,80254,187,4.1,6769,0.08434470555984748,1650.9756097560978,36.19786096256684
3,Vesterbro,72688,219,8.2,6710,0.09231234866828088,818.2926829268293,30.639269406392692
4,Valby,60308,217,9.2,4878,0.0808847914041255,530.2173913043479,22.47926267281106
5,Vanløse,41195,234,6.7,3915,0.09503580531617915,584.3283582089553,16.73076923076923
6,Brønshøj-Husum,44784,213,8.7,4149,0.09264469453376206,476.89655172413796,19.47887323943662
7,Bispebjerg,55172,182,6.8,8268,0.14985862393967955,1215.8823529411766,45.42857142857143
8,Amager Øst,59803,217,9.1,3930,0.06571576676755347,431.8681318681319,18.110599078341014
9,Amager Vest,78973,229,19.2,4477,0.05669026122852114,233.17708333333334,19.550218340611355
